ype,date,time,latitude,longitude,speed_mph,course
T,2021-04-15,18:18:22,28.625928333,-81.700033333,0.1,146.7,
T,2021-04-15,18:18:23,28.625930000,-81.700033333,0.1,152.2,
T,2021-04-15,18:18:24,28.625931667,-81.700031667,0.0,174.1,
T,2021-04-15,18:18:25,28.625931667,-81.700031667,0.1,201.1,
T,2021-04-15,18:18:26,28.625931667,-81.700031667,0.0,121.6,
T,2021-04-15,18:18:27,28.625931667,-81.700031667,0.0,353.9,
T,2021-04-15,18:18:28,28.625933333,-81.700031667,0.0,311.9,
T,2021-04-15,18:18:29,28.625933333,-81.700033333,0.0,136.2,
T,2021-04-15,18:18:30,28.625933333,-81.700033333,0.0,161.3,
T,2021-04-15,18:18:31,28.625935000,-81.700035000,0.0,104.1,
T,2021-04-15,18:18:32,28.625935000,-81.700036667,0.0,332.6,
T,2021-04-15,18:18:33,28.625936667,-81.700036667,0.0,127.2,
T,2021-04-15,18:18:34,28.625938333,-81.700038333,0.0,341.3,
T,2021-04-15,18:18:35,28.625938333,-81.700038333,0.0,258.1,
T,2021-04-15,18:18:36,28.625940000,-81.700038333,0.0,0.3,
T,2021-04-15,18:18:37,28.625940000,-81.700040000,0.0,129.8,
T,2021-04-15,18:18:38,28.625940000,-81.700040000,0.0,347.5,
T,2021-04-15,18:18:39,28.625940000,-81.700041667,0.0,150.1,
T,2021-04-15,18:18:40,28.625940000,-81.700041667,0.0,38.6,
T,2021-04-15,18:18:41,28.625941667,-81.700043333,0.0,0.0,
T,2021-04-15,18:18:42,28.625941667,-81.700043333,0.0,203.6,
T,2021-04-15,18:18:43,28.625941667,-81.700043333,0.0,353.9,
T,2021-04-15,18:18:44,28.625941667,-81.700043333,0.0,184.8,
T,2021-04-15,18:18:45,28.625941667,-81.700043333,0.0,42.8,
T,2021-04-15,18:18:46,28.625941667,-81.700043333,0.0,306.6,
T,2021-04-15,18:18:47,28.625941667,-81.700043333,0.0,340.4,
T,2021-04-15,18:18:48,28.625941667,-81.700043333,0.0,249.6,
T,2021-04-15,18:18:49,28.625941667,-81.700043333,0.0,181.9,
T,2021-04-15,18:18:50,28.625941667,-81.700043333,0.0,298.3,
T,2021-04-15,18:18:51,28.625941667,-81.700043333,0.0,314.2,
T,2021-04-15,18:18:52,28.625941667,-81.700043333,0.0,287.8,
T,2021-04-15,18:18:53,28.625941667,-81.700043333,0.0,275.9,
T,2021-04-15,18:18:54,28.625941667,-81.700043333,0.0,70.7,
T,2021-04-15,18:18:55,28.625941667,-81.700043333,0.0,290.9,
T,2021-04-15,18:18:56,28.625941667,-81.700043333,0.0,353.9,
T,2021-04-15,18:18:57,28.625941667,-81.700043333,0.0,312.6,
T,2021-04-15,18:18:58,28.625941667,-81.700043333,0.0,140.3,
T,2021-04-15,18:18:59,28.625941667,-81.700043333,0.0,163.9,
T,2021-04-15,18:19:00,28.625941667,-81.700043333,0.0,344.9,
T,2021-04-15,18:19:01,28.625941667,-81.700043333,0.0,198.9,
T,2021-04-15,18:19:02,28.625941667,-81.700043333,0.0,336.4,
T,2021-04-15,18:19:03,28.625941667,-81.700043333,0.0,229.3,
T,2021-04-15,18:19:04,28.625941667,-81.700043333,0.0,44.2,
T,2021-04-15,18:19:05,28.625941667,-81.700043333,0.0,165.1,
T,2021-04-15,18:19:06,28.625941667,-81.700043333,0.0,315.6,
T,2021-04-15,18:19:07,28.625941667,-81.700043333,0.0,339.9,
T,2021-04-15,18:19:08,28.625941667,-81.700043333,0.0,348.6,
T,2021-04-15,18:19:09,28.625941667,-81.700043333,0.0,33.3,
T,2021-04-15,18:19:10,28.625941667,-81.700043333,0.0,75.4,
T,2021-04-15,18:19:11,28.625941667,-81.700043333,0.0,175.2,
T,2021-04-15,18:19:12,28.625941667,-81.700043333,0.0,358.5,
T,2021-04-15,18:19:13,28.625941667,-81.700043333,0.0,272.1,
T,2021-04-15,18:19:14,28.625941667,-81.700043333,0.0,74.7,
T,2021-04-15,18:19:15,28.625941667,-81.700043333,0.0,351.7,
T,2021-04-15,18:19:16,28.625941667,-81.700043333,0.0,215.4,
T,2021-04-15,18:19:17,28.625941667,-81.700043333,0.0,31.0,
T,2021-04-15,18:19:18,28.625941667,-81.700043333,0.0,205.7,
T,2021-04-15,18:19:19,28.625941667,-81.700043333,0.0,208.0,
T,2021-04-15,18:19:20,28.625941667,-81.700043333,0.0,332.1,
T,2021-04-15,18:19:21,28.625940000,-81.700043333,0.0,33.6,
T,2021-04-15,18:19:22,28.625940000,-81.700043333,0.0,0.0,
T,2021-04-15,18:19:23,28.625940000,-81.700043333,0.0,330.7,
T,2021-04-15,18:19:24,28.625940000,-81.700043333,0.0,8.2,
T,2021-04-15,18:19:25,28.625940000,-81.700043333,0.0,176.4,
T,2021-04-15,18:19:26,28.625940000,-81.700043333,0.0,24.4,
T,2021-04-15,18:19:27,28.625940000,-81.700043333,0.0,337.6,
T,2021-04-15,18:19:28,28.625940000,-81.700043333,0.0,335.8,
T,2021-04-15,18:19:29,28.625940000,-81.700043333,0.0,191.6,
T,2021-04-15,18:19:30,28.625940000,-81.700043333,0.0,354.2,
T,2021-04-15,18:19:31,28.625940000,-81.700043333,0.0,303.3,
T,2021-04-15,18:19:32,28.625940000,-81.700043333,0.0,27.4,
T,2021-04-15,18:19:33,28.625940000,-81.700043333,0.0,200.5,
T,2021-04-15,18:19:34,28.625940000,-81.700043333,0.0,333.1,
T,2021-04-15,18:19:35,28.625940000,-81.700043333,0.0,150.9,
T,2021-04-15,18:19:36,28.625940000,-81.700043333,0.0,75.8,
T,2021-04-15,18:19:37,28.625940000,-81.700043333,0.0,285.9,
T,2021-04-15,18:19:38,28.625940000,-81.700043333,0.0,346.9,
T,2021-04-15,18:19:39,28.625940000,-81.700043333,0.0,154.0,
T,2021-04-15,18:19:40,28.625940000,-81.700043333,0.0,107.1,
T,2021-04-15,18:19:41,28.625940000,-81.700043333,0.0,311.6,
T,2021-04-15,18:19:42,28.625940000,-81.700043333,0.0,101.9,
T,2021-04-15,18:19:43,28.625940000,-81.700043333,0.0,321.8,
T,2021-04-15,18:19:44,28.625940000,-81.700043333,0.0,207.5,
T,2021-04-15,18:19:45,28.625940000,-81.700043333,0.0,269.3,
T,2021-04-15,18:19:46,28.625940000,-81.700043333,0.0,187.6,
T,2021-04-15,18:19:47,28.625940000,-81.700043333,0.0,293.7,
