heroe,time(min),damage,healing,mit,eliminations,assists,deaths
Mizuki,5:42,2559,6848,2284,10,14,2
Mizuki,4:39,1397,8864,2919,7,19,0
Mizuki,5:00,2005,5703,1970,6,20,0
Mizuki,12:00,2105,17241,2105,20,30,6
Mizuki,8:18,2443,8748,1664,5,10,5
Mizuki,10:00,4889,8537,938,18,17,7
Mizuki,9:17,5107,12757,2390,10,16,7
Mizuki,15:00,8817,12986,1645,27,28,10
Mizuki,13:03,6124,13972,1315,23,35,8
Mizuki,10:00,2986,8301,1074,16,27,6
Kiriko,6:30,1879,6796,0,10,23,1
Kiriko,5:00,824,3937,0,3,9,1
Kiriko,14:17,2906,15031,0,10,32,9
Kiriko,5:31,1760,6920,0,6,13,2
Kiriko,10:08,3969,10787,0,11,28,6
Kiriko,6:20,2339,6883,0,4,10,1
Kiriko,6:29,1966,7098,0,3,16,2
Kiriko,8:20,681,10044,0,1,18,5
Kiriko,12:20,1985,11280,0,4,16,9
Kiriko,13:33,2791,15121,0,9,28,7
Juno,6:43,2365,4738,0,9,8,6
Juno,3:34,776,4114,0,7,14,1
Juno,9:52,2223,8745,0,11,15,3
Juno,10:07,4130,10050,0,16,21,3
Juno,6:22,3577,5887,0,12,9,6
Juno,7:38,3162,4452,0,18,19,0
Juno,12:27,6341,7458,0,19,18,5
Juno,9:38,2817,9815,0,17,25,5
Juno,7:21,1447,7353,0,6,12,3
Juno,10:54,2831,13450,0,14,20,8
